Query,News_Index,Relevance
支持陳前總統保外就醫,news_064209,2
支持陳前總統保外就醫,news_012873,1
支持陳前總統保外就醫,news_056765,3
支持陳前總統保外就醫,news_055305,1
支持陳前總統保外就醫,news_097573,3
支持陳前總統保外就醫,news_027172,1
支持陳前總統保外就醫,news_082981,1
支持陳前總統保外就醫,news_077798,3
支持陳前總統保外就醫,news_089045,2
支持陳前總統保外就醫,news_083857,1
支持陳前總統保外就醫,news_047289,2
支持陳前總統保外就醫,news_049601,2
支持陳前總統保外就醫,news_086103,3
支持陳前總統保外就醫,news_008928,1
支持陳前總統保外就醫,news_032480,1
支持陳前總統保外就醫,news_094510,2
支持陳前總統保外就醫,news_078179,2
支持陳前總統保外就醫,news_044938,2
支持陳前總統保外就醫,news_019675,2
支持陳前總統保外就醫,news_050066,1
支持陳前總統保外就醫,news_012956,3
支持陳前總統保外就醫,news_020883,2
支持陳前總統保外就醫,news_048753,3
支持陳前總統保外就醫,news_035402,2
支持陳前總統保外就醫,news_035655,3
支持陳前總統保外就醫,news_009430,2
支持陳前總統保外就醫,news_084359,1
支持陳前總統保外就醫,news_030929,1
支持陳前總統保外就醫,news_039199,2
支持陳前總統保外就醫,news_062906,3
支持陳前總統保外就醫,news_096516,3
支持陳前總統保外就醫,news_003329,3
支持陳前總統保外就醫,news_001836,3
支持陳前總統保外就醫,news_092187,3
支持陳前總統保外就醫,news_033993,1
支持陳前總統保外就醫,news_073850,3
支持陳前總統保外就醫,news_095400,2
支持陳前總統保外就醫,news_066906,2
支持陳前總統保外就醫,news_027836,2
支持陳前總統保外就醫,news_023544,2
支持陳前總統保外就醫,news_077662,2
支持陳前總統保外就醫,news_093795,1
支持陳前總統保外就醫,news_000801,3
支持陳前總統保外就醫,news_044312,1
支持陳前總統保外就醫,news_073697,3
支持陳前總統保外就醫,news_029033,2
支持陳前總統保外就醫,news_018007,3
支持陳前總統保外就醫,news_088466,3
支持陳前總統保外就醫,news_029629,2
支持陳前總統保外就醫,news_004452,2
支持陳前總統保外就醫,news_080110,1
支持陳前總統保外就醫,news_086612,2
支持陳前總統保外就醫,news_049121,2
支持陳前總統保外就醫,news_070458,1
支持陳前總統保外就醫,news_063881,1
支持陳前總統保外就醫,news_035665,1
支持陳前總統保外就醫,news_061769,2
支持陳前總統保外就醫,news_089172,3
支持陳前總統保外就醫,news_060312,3
支持陳前總統保外就醫,news_087791,2
支持陳前總統保外就醫,news_079271,3
支持陳前總統保外就醫,news_013344,1
支持陳前總統保外就醫,news_037812,2
支持陳前總統保外就醫,news_031161,1
支持陳前總統保外就醫,news_069668,2
支持陳前總統保外就醫,news_021348,3
支持陳前總統保外就醫,news_026664,1
支持陳前總統保外就醫,news_027911,2
支持陳前總統保外就醫,news_095488,3
支持陳前總統保外就醫,news_063859,2
支持陳前總統保外就醫,news_037735,2
支持陳前總統保外就醫,news_049982,3
支持陳前總統保外就醫,news_040999,2
支持陳前總統保外就醫,news_096074,1
支持陳前總統保外就醫,news_011884,3
支持陳前總統保外就醫,news_087333,3
支持陳前總統保外就醫,news_068401,3
支持陳前總統保外就醫,news_094034,1
支持陳前總統保外就醫,news_080079,2
支持陳前總統保外就醫,news_063470,3
支持陳前總統保外就醫,news_023368,3
支持陳前總統保外就醫,news_025152,3
支持陳前總統保外就醫,news_035076,1
支持陳前總統保外就醫,news_092224,2
支持陳前總統保外就醫,news_031657,3
支持陳前總統保外就醫,news_008239,2
支持陳前總統保外就醫,news_022328,1
支持陳前總統保外就醫,news_071592,1
支持陳前總統保外就醫,news_033656,3
支持陳前總統保外就醫,news_050840,1
支持陳前總統保外就醫,news_068629,2
支持陳前總統保外就醫,news_084891,1
支持陳前總統保外就醫,news_054837,2
支持陳前總統保外就醫,news_002953,1
支持陳前總統保外就醫,news_037931,2
支持陳前總統保外就醫,news_032713,3
支持陳前總統保外就醫,news_030269,2
支持陳前總統保外就醫,news_047719,3
支持陳前總統保外就醫,news_036152,3
支持陳前總統保外就醫,news_080862,1
支持陳前總統保外就醫,news_012842,1
支持陳前總統保外就醫,news_049375,1
支持陳前總統保外就醫,news_040887,3
支持陳前總統保外就醫,news_001477,1
支持陳前總統保外就醫,news_017097,2
支持陳前總統保外就醫,news_018219,3
支持陳前總統保外就醫,news_011406,3
支持陳前總統保外就醫,news_046384,2
支持陳前總統保外就醫,news_002641,1
支持陳前總統保外就醫,news_040496,2
支持陳前總統保外就醫,news_045216,1
支持陳前總統保外就醫,news_050266,3
支持陳前總統保外就醫,news_008581,2
支持陳前總統保外就醫,news_076407,2
支持陳前總統保外就醫,news_026399,1
支持陳前總統保外就醫,news_078687,2
支持陳前總統保外就醫,news_071379,1
支持陳前總統保外就醫,news_053017,1
支持陳前總統保外就醫,news_061767,3
支持陳前總統保外就醫,news_082627,2
支持陳前總統保外就醫,news_083673,2
支持陳前總統保外就醫,news_055767,3
支持陳前總統保外就醫,news_081412,3
支持陳前總統保外就醫,news_003778,1
支持陳前總統保外就醫,news_076655,3
支持陳前總統保外就醫,news_092458,2
支持陳前總統保外就醫,news_097020,3
支持陳前總統保外就醫,news_018751,3
支持陳前總統保外就醫,news_007757,1
支持陳前總統保外就醫,news_070753,2
支持陳前總統保外就醫,news_079561,2
支持陳前總統保外就醫,news_009434,2
支持陳前總統保外就醫,news_001027,1
支持陳前總統保外就醫,news_000484,3
支持陳前總統保外就醫,news_047138,2
支持陳前總統保外就醫,news_045332,2
支持陳前總統保外就醫,news_037630,2
支持陳前總統保外就醫,news_084805,3
支持陳前總統保外就醫,news_007018,3
支持陳前總統保外就醫,news_064343,3
支持陳前總統保外就醫,news_098620,1
支持陳前總統保外就醫,news_011670,1
支持陳前總統保外就醫,news_059236,2
支持陳前總統保外就醫,news_073316,1
支持陳前總統保外就醫,news_023772,2
支持陳前總統保外就醫,news_054750,1
支持陳前總統保外就醫,news_047525,3
支持陳前總統保外就醫,news_076328,2
支持陳前總統保外就醫,news_032762,3
支持陳前總統保外就醫,news_044256,1
支持陳前總統保外就醫,news_044673,1
支持陳前總統保外就醫,news_019993,1
支持陳前總統保外就醫,news_043681,3
支持陳前總統保外就醫,news_092272,3
支持陳前總統保外就醫,news_018655,2
支持陳前總統保外就醫,news_093827,2
支持陳前總統保外就醫,news_000355,2
支持陳前總統保外就醫,news_023043,3
支持陳前總統保外就醫,news_032853,2
支持陳前總統保外就醫,news_097947,1
支持陳前總統保外就醫,news_073035,3
支持陳前總統保外就醫,news_078350,1
支持陳前總統保外就醫,news_067714,3
支持陳前總統保外就醫,news_077570,1
支持陳前總統保外就醫,news_027606,2
支持陳前總統保外就醫,news_010325,1
支持陳前總統保外就醫,news_037623,2
支持陳前總統保外就醫,news_019639,2
支持陳前總統保外就醫,news_079219,2
支持陳前總統保外就醫,news_063938,2
支持陳前總統保外就醫,news_063469,3
支持陳前總統保外就醫,news_076874,2
支持陳前總統保外就醫,news_024008,3
支持陳前總統保外就醫,news_008528,1
支持陳前總統保外就醫,news_013113,1
支持陳前總統保外就醫,news_089722,2
支持陳前總統保外就醫,news_036408,3
支持陳前總統保外就醫,news_021925,2
支持陳前總統保外就醫,news_025193,3
支持陳前總統保外就醫,news_042169,1
支持陳前總統保外就醫,news_089020,1
支持陳前總統保外就醫,news_092277,2
支持陳前總統保外就醫,news_054341,3
支持陳前總統保外就醫,news_046750,1
支持陳前總統保外就醫,news_020153,3
支持陳前總統保外就醫,news_026581,2
支持陳前總統保外就醫,news_098852,3
支持陳前總統保外就醫,news_047626,2
支持陳前總統保外就醫,news_017995,2
支持陳前總統保外就醫,news_085079,2
支持陳前總統保外就醫,news_004671,1
支持陳前總統保外就醫,news_096313,3
支持陳前總統保外就醫,news_014099,3
支持陳前總統保外就醫,news_084727,2
支持陳前總統保外就醫,news_064660,1
支持陳前總統保外就醫,news_087859,3
支持陳前總統保外就醫,news_031545,1
支持陳前總統保外就醫,news_092795,2
支持陳前總統保外就醫,news_045372,2
支持陳前總統保外就醫,news_028048,1
支持陳前總統保外就醫,news_087511,0
支持陳前總統保外就醫,news_051773,0
支持陳前總統保外就醫,news_019856,0
支持陳前總統保外就醫,news_048504,0
支持陳前總統保外就醫,news_047261,0
支持陳前總統保外就醫,news_079685,0
支持陳前總統保外就醫,news_033318,0
支持陳前總統保外就醫,news_096011,0
支持陳前總統保外就醫,news_047658,0
支持陳前總統保外就醫,news_060703,0
支持陳前總統保外就醫,news_078728,0
支持陳前總統保外就醫,news_098432,0
支持陳前總統保外就醫,news_047244,0
支持陳前總統保外就醫,news_040724,0
支持陳前總統保外就醫,news_015346,0
支持陳前總統保外就醫,news_086801,0
支持陳前總統保外就醫,news_054993,0
支持陳前總統保外就醫,news_029593,0
支持陳前總統保外就醫,news_030642,0
支持陳前總統保外就醫,news_014437,0
支持陳前總統保外就醫,news_089034,0
支持陳前總統保外就醫,news_025615,0
支持陳前總統保外就醫,news_068001,0
支持陳前總統保外就醫,news_097547,0
支持陳前總統保外就醫,news_034566,0
支持陳前總統保外就醫,news_032884,0
支持陳前總統保外就醫,news_078099,0
支持陳前總統保外就醫,news_090904,0
支持陳前總統保外就醫,news_033716,0
支持陳前總統保外就醫,news_031569,0
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_038482,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_002728,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_087044,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_097531,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_088594,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_042072,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_016422,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_064842,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_081266,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_047982,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_075769,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_018827,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_063539,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_006420,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_048327,3
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_048648,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_021217,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_095595,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_023763,3
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_069462,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_073552,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_005600,3
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_011407,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_099484,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_042122,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_052739,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_029877,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_022453,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_030172,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_088267,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_075199,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_027518,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_014796,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_024980,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_099415,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_007054,3
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_034621,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_008644,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_054103,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_002939,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_044880,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_049473,3
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_002862,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_041878,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_030211,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_017574,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_077373,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_008889,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_028848,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_099443,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_097102,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_031372,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_063446,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_089230,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_006636,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_097262,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_063979,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_095233,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_053480,2
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_067624,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_018478,1
年金改革應取消或應調降軍公教月退之優存利率十八趴,news_052098,1
